Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-04-10,Vistas 2024,,https://boxd.it/uHz3G,

Position,Name,Year,URL,Description
1,Black Swan,2010,https://boxd.it/Sw0,
2,City of God,2002,https://boxd.it/2a2a,
3,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
4,The Shawshank Redemption,1994,https://boxd.it/2aHi,
5,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
6,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
7,La La Land,2016,https://boxd.it/a5fa,
8,The Godfather,1972,https://boxd.it/2aNK,
9,Anatomy of a Fall,2023,https://boxd.it/yuDE,
10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
11,Parasite,2019,https://boxd.it/hTha,
12,Citizen Kane,1941,https://boxd.it/71O,
13,Taxi Driver,1976,https://boxd.it/2b8y,
14,Psycho,1960,https://boxd.it/2ab2,
15,Dune: Part Two,2024,https://boxd.it/pUfA,
16,Manchester by the Sea,2016,https://boxd.it/b2L0,
17,Hereditary,2018,https://boxd.it/hNVe,
18,The Prestige,2006,https://boxd.it/293w,
19,Whiplash,2014,https://boxd.it/7bQA,
20,Dead Poets Society,1989,https://boxd.it/2aSg,
21,Inglourious Basterds,2009,https://boxd.it/1JzG,
22,Oppenheimer,2023,https://boxd.it/wUow,
23,Cinema Paradiso,1988,https://boxd.it/1UlA,
24,[REC],2007,https://boxd.it/20ma,
25,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
26,The Father,2020,https://boxd.it/m8Ie,
27,The King of Comedy,1982,https://boxd.it/2aJS,
28,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
29,Little Miss Sunshine,2006,https://boxd.it/29EW,
30,Beetlejuice,1988,https://boxd.it/24QI,x2
31,La Haine,1995,https://boxd.it/2as8,
32,About Time,2013,https://boxd.it/43bI,
33,Good Will Hunting,1997,https://boxd.it/2ahY,
34,Shaun of the Dead,2004,https://boxd.it/29J8,
35,Memories of Murder,2003,https://boxd.it/1TSo,
36,Bram Stoker's Dracula,1992,https://boxd.it/223a,
37,Sound of Metal,2019,https://boxd.it/i7Q4,
38,Poor Things,2023,https://boxd.it/tNWU,
39,Dune,2021,https://boxd.it/fA7G,
40,Oldboy,2003,https://boxd.it/29R2,
41,Punch-Drunk Love,2002,https://boxd.it/20E4,
42,Rope,1948,https://boxd.it/28yo,
43,Training Day,2001,https://boxd.it/27A4,
44,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
45,The Holdovers,2023,https://boxd.it/vHza,
46,Moonlight,2016,https://boxd.it/d6bE,
47,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
48,Get Out,2017,https://boxd.it/eOCm,
49,The Hunt,2012,https://boxd.it/3wEC,
50,Late Night with the Devil,2023,https://boxd.it/zo6G,
51,Full Metal Jacket,1987,https://boxd.it/2a1Q,
52,Mean Girls,2004,https://boxd.it/1VNg,
53,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
54,Pellet,2000,https://boxd.it/1flY,
55,All Quiet on the Western Front,2022,https://boxd.it/H08,
56,Heat,1995,https://boxd.it/2bg8,
57,Sorry to Bother You,2018,https://boxd.it/f21E,
58,Past Lives,2023,https://boxd.it/oNB8,
59,Knives Out,2019,https://boxd.it/jWEA,
60,Zoolander,2001,https://boxd.it/1YMA,
61,Green Book,2018,https://boxd.it/hErk,
62,Society of the Snow,2023,https://boxd.it/y9aw,
63,School of Rock,2003,https://boxd.it/28xK,
64,The World is Ours,2012,https://boxd.it/3R3i,
65,Nope,2022,https://boxd.it/sDCe,
66,Argo,2012,https://boxd.it/2czU,
67,Game Night,2018,https://boxd.it/fRtu,
68,Fargo,1996,https://boxd.it/2aHM,
69,1917,2019,https://boxd.it/jj4y,
70,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,
71,American Gangster,2007,https://boxd.it/23wi,
72,(500) Days of Summer,2009,https://boxd.it/1EmM,
73,Soul,2020,https://boxd.it/ioLA,
74,Trainspotting,1996,https://boxd.it/29XY,
75,Challengers,2024,https://boxd.it/zld0,
76,Little Women,2019,https://boxd.it/aSVk,
77,The Nice Guys,2016,https://boxd.it/94Hg,
78,Superbad,2007,https://boxd.it/20hO,
79,Inside Out,2015,https://boxd.it/4KHC,
80,Bottoms,2023,https://boxd.it/uGf2,
81,The Beasts,2022,https://boxd.it/w1L6,
82,Chef,2014,https://boxd.it/6lCG,
83,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
84,Robot Dreams,2023,https://boxd.it/vBZm,
85,After Hours,1985,https://boxd.it/1VfS,
86,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
87,Top Gun: Maverick,2022,https://boxd.it/cjr4,
88,Gran Torino,2008,https://boxd.it/1Qzy,
89,Midnight in Paris,2011,https://boxd.it/i4a,
90,"As Above, So Below",2014,https://boxd.it/7yui,
91,A Quiet Place,2018,https://boxd.it/fVJQ,
92,Rushmore,1998,https://boxd.it/1TAO,
93,The Darjeeling Limited,2007,https://boxd.it/24as,
94,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
95,Edge of Tomorrow,2014,https://boxd.it/4pD0,
96,Life of Brian,1979,https://boxd.it/2a4q,
97,Men in Black,1997,https://boxd.it/2a0I,
98,Monkey Man,2024,https://boxd.it/kvsO,
99,The Devil Wears Prada,2006,https://boxd.it/2awE,
100,The Lego Batman Movie,2017,https://boxd.it/azp0,
101,The Lego Movie,2014,https://boxd.it/4pDO,
102,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
103,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,
104,"I, Tonya",2017,https://boxd.it/dzR0,
105,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
106,Sicario,2015,https://boxd.it/8i7u,
